t,rms,p2p,crest,kurtosis,equipment
42.0,0.13631022816060567,1.2399559999999998,4.963699416618991,3.5515221274319417,MOTOR_001
42.25,0.1340547957303309,1.2399559999999998,5.047212196429563,3.6212498348469966,MOTOR_001
42.5,0.13461592931637634,1.273943,5.415577515248136,3.479651412572711,MOTOR_001
42.75,0.13196183308191284,1.18589,5.524498887094669,3.383018654573151,MOTOR_001
43.0,0.13133106550252877,1.138802,4.920861621940898,3.2784714985879395,MOTOR_001
43.25,0.1343507688107413,1.173156,4.810259038490382,3.425798794748129,MOTOR_001
43.5,0.13394286770654867,1.203544,5.051780744925155,3.638432563822756,MOTOR_001
43.75,0.13541401736649902,1.2014610000000001,4.996897759621456,3.7135201045666846,MOTOR_001
44.0,0.1372634433376732,1.134755,4.539526219425544,3.489488754180552,MOTOR_001
44.25,0.13543746678177349,1.1012339999999998,4.368909239519459,3.285446663810669,MOTOR_001
44.5,0.13545506818022215,1.4291649999999998,6.250567153925235,3.543427148054722,MOTOR_001
44.75,0.13860516309571136,1.4291649999999998,6.108509820917321,3.814355889531252,MOTOR_001
45.0,0.13869337868498627,1.339415,5.513370625549381,3.562245860122077,MOTOR_001
45.25,0.13657747930935668,1.216529,4.969054952777314,3.2693182177617084,MOTOR_001
45.5,0.13509266123729624,1.229414,5.023670373980581,3.2494513712570376,MOTOR_001
45.75,0.13588386325785706,1.11165,4.127767540253297,3.365045778650523,MOTOR_001
46.0,0.13472999799560786,1.133492,4.249944396337527,3.3581284442810726,MOTOR_001
46.25,0.13230977303463784,1.095463,4.32768484796734,3.216447617178057,MOTOR_001
46.5,0.1350303018445934,1.217297,5.066129532816346,3.3105774953131117,MOTOR_001
46.75,0.13563390304768938,1.217297,5.043584123355019,3.288609014572747,MOTOR_001
47.0,0.13386008738299993,1.044728,4.552081295573588,3.3242351039620974,MOTOR_001
47.25,0.13388142875440567,1.482429,6.07323963872206,3.8477535303870223,MOTOR_001
47.5,0.12979312234222004,1.482429,6.264538407945449,3.802440044386223,MOTOR_001
47.75,0.1305564042559173,1.083035,4.3727000850984705,3.3213106352978388,MOTOR_001
48.0,0.13081925523007068,1.083035,4.363914157713184,3.4047012646949373,MOTOR_001
48.25,0.12720896198599818,1.0697780000000001,4.713056302322405,3.416350474480331,MOTOR_001
48.5,0.12656281446590564,1.039941,4.737118106373251,3.2921687336834333,MOTOR_001
48.75,0.12575330657813882,1.009509,4.5256145980254905,3.0958576224032557,MOTOR_001
49.0,0.1254549561849536,0.907689,3.785645577045448,3.0708422536572666,MOTOR_001
49.25,0.12720245175741896,1.025941,4.0628933865644425,3.325877773966344,MOTOR_001
49.5,0.12949220486635768,1.0664639999999999,4.237212584080029,3.3638057024295853,MOTOR_001
49.75,0.1299401167158554,1.118768,4.62513052311786,3.292516123014007,MOTOR_001
50.0,0.12964711472540227,1.23275,4.872919858942428,3.432332522098508,MOTOR_001
50.25,0.13015064861153688,1.158325,5.066513359976819,3.519530886319068,MOTOR_001
50.5,0.1319776977613737,1.280062,4.996374472240503,3.573536225865181,MOTOR_001
50.75,0.13332148444243008,1.195409,4.655303701392595,3.5521442425784615,MOTOR_001
51.0,0.1276430269202954,1.153492,4.534011876429267,3.3707987443953353,MOTOR_001
51.25,0.12690528524241662,1.0999780000000001,4.943497812574267,3.3196883036118887,MOTOR_001
51.5,0.1321333697838977,1.0999780000000001,4.747899800224819,3.2215716780829236,MOTOR_001
51.75,0.13297928911594653,1.384398,5.261465936924593,3.4090331054016993,MOTOR_001
52.0,0.137477568689828,1.384398,5.089310253795378,3.558748892309154,MOTOR_001
52.25,0.13844303309234993,1.176614,4.322485477480249,3.36250772460427,MOTOR_001
52.5,0.1345206998056707,1.3238919999999998,5.457977850699892,3.384645363640721,MOTOR_001
52.75,0.13320416142377506,1.284751,5.511922391554906,3.352440702760446,MOTOR_001
53.0,0.1369365020183388,1.312674,5.2559032061707915,3.4423867227892524,MOTOR_001
53.25,0.13765931741672083,1.312674,5.228305744254536,3.552337836658354,MOTOR_001
53.5,0.1347571230956619,1.308019,5.176550107149448,3.5509488538071934,MOTOR_001
53.75,0.13449617671628486,1.178203,4.5387312480094275,3.519483993225072,MOTOR_001
54.0,0.13266110088803065,1.100037,4.279785077912211,3.433416790930616,MOTOR_001
54.25,0.1327428196599754,1.092218,4.301859802757981,3.304125485797239,MOTOR_001
54.5,0.13523724482518026,1.128414,4.222512819883152,3.4081917301990736,MOTOR_001
54.75,0.13510609657316078,1.292492,5.3314692546827125,3.6341744122119595,MOTOR_001
55.0,0.13498741559252755,1.319447,5.3361566842226,3.4713639610150477,MOTOR_001
55.25,0.13538190692725108,1.180782,4.425502739608702,3.5369711257415037,MOTOR_001
55.5,0.13683189936636897,1.097541,4.061348286279708,3.493496925927286,MOTOR_001
